Title1,Title_URL,authors,paper_link,type,Scholarlink,time_since_pull,query_text_match,Keyword
Araucaria heterophylla oleogum resin essential oil is a novel aldose reductase and butyryl choline esterase enzymes inhibitor: in vitro and in silico evidence,https://www.nature.com/articles/s41598-023-38143-4,"AF Soliman, MA Sabry, G Abdelwahab - Scientific Reports, 2023 - nature.com",https://www.nature.com/articles/s41598-023-38143-4,[HTML] nature.com,https://scholar.google.com/citations?user=bd3AIo4AAAAJ&hl=en&oi=sra,2 days ago,"thus the life cycle of the coronaviruses. It is considered one  anti-inflammatory 
and anti-COVID-19 leads based on the  inhibitory activity against SARS-CoV-2 M pro enzyme",clinical_trial
Impact of the COVID-19 Pandemic on Patients with End Stage Liver Disease: One virus–a plethora of consequences,https://www.jcehepatology.com/article/S0973-6883(23)00145-7/abstract,P Bhangui - Journal of Clinical and Experimental Hepatology - jcehepatology.com,,,https://scholar.google.com/citations?user=w0H9IIwAAAAJ&hl=en&oi=sra,2 days ago,"The COVID-19 pandemic has been a once in a lifetime (… medical care for 
non-COVID related ailments too. Prominent  the impact of the COVID-19 pandemic on the clinical",other_conditions
Persepsi Masyarakat Pesisir tentang Vaksin Booster selama Masa Pandemik Covid-19,https://www.ejurnalmalahayati.ac.id/index.php/manuju/article/view/9301,"F Alfikrie, UR Hidayat, D Hatmalyakin… - Malahayati Nursing …, 2023 - ejurnalmalahayati.ac.id",,,https://scholar.google.com/citations?user=BCMWlNcAAAAJ&hl=en&oi=sra,2 days ago,"perception of receiving the COVID-19 boosters in the  12,2% history of being 
infected with Covid-19, 55,6% not working, 53,… Aerosol and surface stability of SARS-CoV-2 as",Vaccine
Policy analysis by national government advisory councils: knowledge production and its role in policy design and implementation,https://books.google.com/books?hl=en&lr=&id=xXbLEAAAQBAJ&oi=fnd&pg=RA4-PT15&dq=covid+19+++%22sars-cov-2%22+++coronavirus&ots=ZhctZ_UXDS&sig=eiJrOcrLnjeM29g0uRB-vAQX-bQ,"N Cardozo, P Ferrari - Policy Analysis in Argentina, 2023 - books.google.com",,,,2 days ago,"During the COVID-19 pandemic, we could see that the  date back to the end of 
the 19th century and cross the 20th  , having been infected with SARSCoV-2 and having one",tech
Mutually Beneficial Immigration is Key to Global Healthcare Sustainability,https://physicianjnl.net/index.php/phy/issue/download/14/9#page=13,"RM CBE - PHYSICIAN, 2023 - physicianjnl.net",https://physicianjnl.net/index.php/phy/issue/download/14/9#page=13,[PDF] physicianjnl.net,,2 days ago,"in 2020, in the early days of the arrival of SARS-CoV-2 in the UK, with its primary 
task to  Contribution of migrant doctors and nurses to tackling COVID-19 crisis in OECD",tech
"Maternal and neonatal outcomes of COVID-19 vaccination during pregnancy, a systematic review and meta-analysis",https://www.nature.com/articles/s41541-023-00698-8,"G Marchand, AT Masoud, S Grover, A King, G Brazil… - npj Vaccines, 2023 - nature.com",https://www.nature.com/articles/s41541-023-00698-8,[HTML] nature.com,https://scholar.google.com/citations?user=fS5rYdUAAAAJ&hl=en&oi=sra,2 days ago,"Coronavirus 2 (SARS-CoV-2) has the potential to considerably reduce the burden 
of Coronavirus disease 2019 (COVID-19)  reduced incidence of SARS-CoV-2 infection in",tech
Wrapper and Hybrid Feature Selection Methods Using Metaheuristic Algorithm for Chest X-Ray Images Classification: COVID-19 as a Case Study,https://hrcak.srce.hr/306110,"A Yasar - Tehnički glasnik, 2023 - hrcak.srce.hr",https://hrcak.srce.hr/file/441841,[PDF] srce.hr,https://scholar.google.com/citations?user=lrVJL_AAAAAJ&hl=en&oi=sra,2 days ago,"Abstract: Covid-19 virus has led to a tremendous  of Omicron (SARS-CoV-2), 
which is a coronavirus 2 variant,  One of the most significant steps in the fight against covid-19",Lung_Cardio
SARS-CoV-2 breakthrough infections after COVID-19 vaccination in patients with inflammatory bowel disease: a systematic review and meta-analysis,https://journals.sagepub.com/doi/abs/10.1177/17562848231174295,"N van de Pol, Q Pan, LAAP Derikx… - Therapeutic …, 2023 - journals.sagepub.com",https://journals.sagepub.com/doi/full/10.1177/17562848231174295,[HTML] sagepub.com,,2 days ago,"Since the start of the coronavirus disease (COVID-19) pandemic caused by 
SARS-CoV-2  Initial concerns on an increased risk of COVID-19 infections and a more severe",tech
HIV viral load and CD4+ count are not associated with experiencing Covid-19 vaccine adverse events: case-control study,https://saludpublica.mx/index.php/spm/article/view/14775,"E Pérez-Barragán, JA Mata-Marín… - Salud Pública de …, 2023 - saludpublica.mx",https://saludpublica.mx/index.php/spm/article/download/14775/12445,[PDF] saludpublica.mx,,2 days ago,"Safety and immunogenicity of the ChAdOx1 nCoV-19 (AZD1222) vaccine 
against SARS-CoV-2 in people living with and without HIV in South Africa: an interim analysis of",Vaccine
"Research Paper Knowledge, Attitude and Practice Regarding COVID-19 in Patients With Diabetes",https://ijn.iums.ac.ir/article-1-3642-fa.pdf,"M Ehsani, M Seyedoshohadaee, S Haghani… - ijn.iums.ac.ir",https://ijn.iums.ac.ir/article-1-3642-fa.pdf,[PDF] iums.ac.ir,https://scholar.google.com/citations?user=gbOuZUMAAAAJ&hl=en&oi=sra,2 days ago,"health characteristics are exposed to COVID-19, their conditions and severity 
… 19 depends highly on these behaviors. This study aims to assess the KAP towards COVID-19",other_conditions
"Clinical use of dimethyl fumarate in multiple sclerosis treatment: an update to include China, using a modified Delphi method",https://journals.sagepub.com/doi/abs/10.1177/17562864231180734,"R Gold, M Barnett, A Chan, H Feng… - Therapeutic …, 2023 - journals.sagepub.com",https://journals.sagepub.com/doi/pdf/10.1177/17562864231180734,[PDF] sagepub.com,https://scholar.google.com/citations?user=iZVWDzwAAAAJ&hl=en&oi=sra,2 days ago,"For example, MS organizations and working groups have demonstrated the 
value of updating practice through agreed statements on the use of DMTs during COVID-19.",other_conditions
"Analysis of Scientific and Practical Data on the Pathogenesis of Damage to the Kidneys, Pathomorphological Changes in Covid-19 Infection",http://univerpubl.com/index.php/semantic/article/view/2317,"SS Abdusaminovich - Web of Semantic: Universal Journal on …, 2023 - univerpubl.com",http://univerpubl.com/index.php/semantic/article/download/2317/2011,[PDF] univerpubl.com,,2 days ago,"coronavirus infection, and it was considered by  SARS-CoV-2 has active 
replication to the upper respiratory epithelium. Therefore, the course and progression of COVID-19",tech
Modeling the Academic Achievement in Covid-19 pandemic Based on Students' Personality and Attitude Variables,https://jep.atu.ac.ir/article_15880_74b28621264ff9a574446dd54fd55940.pdf,E Zamanpour - jep.atu.ac.ir,https://jep.atu.ac.ir/article_15880_74b28621264ff9a574446dd54fd55940.pdf,[PDF] atu.ac.ir,,2 days ago,"The problem of the present research can be explained the academic 
progress of students during the covid-19 pandemic based on the variables presented. The",tech
Mutually Beneficial Immigration is Key to Global Healthcare Sustainability,https://physicianjnl.net/index.php/phy/article/view/172,"R Mehta, I Chakravorty - The Physician, 2023 - physicianjnl.net",https://physicianjnl.net/index.php/phy/article/download/172/235,[PDF] physicianjnl.net,https://scholar.google.com/citations?user=k0nsazcAAAAJ&hl=en&oi=sra,2 days ago,"in 2020, in the early days of the arrival of SARS-CoV-2 in the UK, with its 
primary task to  The events of 2019-2020 from #Blacklivesmatter29 movement to the #COVID-19",tech
Introduction to Artificial Intelligence Prediction for Healthcare: An Example of a Low-Code No-Code AI Diagnostic Assistant,https://physicianjnl.net/index.php/phy/article/view/167,"A Chakravorty - The Physician, 2023 - physicianjnl.net",https://physicianjnl.net/index.php/phy/article/download/167/236,[PDF] physicianjnl.net,,2 days ago,"detect the virus causing the Covid-19 pandemic (SARS-COV-2) behaviour 
as well.… scholarly articles related to COVID-19, SARSCoV-2, and related coronaviruses. (Website…",tech
"Fluvoxamine Mediates Specific, Early, and Delayed SARS-CoV-2 Protection through Antioxidant and Cytoprotective Pathways via Sigma-1 Receptor Agonism",https://apb.tbzmed.ac.ir/PDF/apb-13-408.pdf,"K Papadopoulos, A Papadopoulou, TC Aw - 2023 - apb.tbzmed.ac.ir",https://apb.tbzmed.ac.ir/PDF/apb-13-408.pdf,[PDF] tbzmed.ac.ir,https://scholar.google.com/citations?user=Elx0maAAAAAJ&hl=en&oi=sra,2 days ago,"coronavirus disease 2019 (COVID-19).Fluvoxamine’s mechanisms of action in 
COVID-19  to severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2) infection.The",medication_treatment
"Structure-based Drug Design, ADME and Molecular Docking analyses of anti-viral agents against SARS-CoV-2 virus, Zika virus and Hepatitis C virus",https://jddtonline.info/index.php/jddt/article/view/5909,"P Solo, S Zeliang, M Lohe, A Neikha… - Journal of Drug Delivery …, 2023 - jddtonline.info",https://jddtonline.info/index.php/jddt/article/download/5909/5498,[PDF] jddtonline.info,,2 days ago,"corona virus, currently named as SARS-CoV-2,  The SARS-CoV-2 is an 
enveloped beta coronavirus with  This structure of SARS-CoV- 19 main protease is bound to a",tech
A FRACTIONAL MODEL OF COVID-19 IN THE FRAME OF ENVIRONMENTAL TRANSFORMATION WITH CAPUTO FRACTIONAL DERIVATIVE,https://pphmjopenaccess.com/index.php/aas/article/view/871,"NH Alharthi, MB Jeelani - Advances and Applications in …, 2023 - pphmjopenaccess.com",https://pphmjopenaccess.com/index.php/aas/article/download/871/798,[PDF] pphmjopenaccess.com,,2 days ago,"The coronavirus disease is caused by a virus SARS-COV-2. Its incubation 
period is approximately 11 days. Coronavirus can lead to respiratory failure, lasting lung and",tech
COVID-19 and Thromboembolic Events in the Pandemic and Pre-Pandemic Era: A Pediatric Cohort,https://www.mdpi.com/1999-4915/15/7/1554,"C Rubino, C Bechini, M Stinco, D Lasagni, G Indolfi… - Viruses, 2023 - mdpi.com",https://www.mdpi.com/1999-4915/15/7/1554,[HTML] mdpi.com,,2 days ago,"Since 2020, the coronavirus disease 2019 (COVID-19), caused by severe 
acute respiratory syndrome coronavirus 2 (SARS-CoV-2), and multisystem inflammatory",clinical_trial
Whose normal is the new normal anyway? A critical leadership appraisal of university administrators in a waning pandemic,https://www.emerald.com/insight/content/doi/10.1108/QROM-11-2022-2447/full/html,"B Spector - … Research in Organizations and Management: An …, 2023 - emerald.com",,,,2 days ago,"Coronavirus circulates through the population at much higher levels than does 
a flu  as the predominant SARS CoV-2 strain, accounting for more than 99% of COVID-19",tech
The mental health toll of COVID-19: significant increase in admissions to ICU for voluntary self-inflicted injuries after the beginning of the pandemic,https://link.springer.com/article/10.1186/s13033-023-00590-x,"S Mongodi, G Salve, M Ravasi, D Rizzi… - International Journal of …, 2023 - Springer",https://link.springer.com/article/10.1186/s13033-023-00590-x,[HTML] springer.com,,2 days ago,"Italy was hit by the new coronavirus-2019 disease (COVID-19) pandemic in 
February 2020, with deep impact on ICUs [1, 2] and healthcare systems [3]. To contain",wellbeing
Development and assessment of the performance of a shared ventilatory system that uses clinically available components to individualize tidal volumes,https://link.springer.com/article/10.1186/s12871-023-02200-2,"DM Hannon, T Jones, J Conolly, C Judge, T Iqbal… - BMC …, 2023 - Springer",https://link.springer.com/article/10.1186/s12871-023-02200-2,[HTML] springer.com,https://scholar.google.com/citations?user=TTC4680AAAAJ&hl=en&oi=sra,2 days ago,"The global pandemic of coronavirus disease caused by the SARS-CoV-2 virus 
… in preventing SARS-CoV-2 spread in mechanically ventilated patients with Covid-19 [32].",tech
Effect of treatment regimen of the rheumatoid arthritis patients on the risk of coronavirus disease 2019 by modulating the inflammatory mediators,https://link.springer.com/article/10.1007/s10787-023-01289-8,"Z Bagheri‑Hosseinabadi, A Dehghani, MA Lotfi… - …, 2023 - Springer",,,https://scholar.google.com/citations?user=DLvUmNgAAAAJ&hl=en&oi=sra,2 days ago,"The emerging novel severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) 
infection in late 2019 and early 2020 caused coronavirus disease 2019 (COVID-19)",public_health
The long-term boomerang effect of COVID-19 on admissions for non-COVID diseases: the ECIEN-2022 study,https://link.springer.com/article/10.1007/s00431-023-05101-1,"B Ramos La Cuey, N Saloni-Gomez… - European Journal of …, 2023 - Springer",,,,2 days ago,"The COVID-19 pandemic has had a significant impact  long-term effects of the 
SARS-CoV-2 infection, but also through  Coronavirus SARS-CoV-2 en población pediátrica).",long_covid
Valveless On-Chip Aliquoting for Molecular Diagnosis,https://www.mdpi.com/2072-666X/14/7/1425,"AA Romero Deza, F Schaumburg, CLA Berli - Micromachines, 2023 - mdpi.com",https://www.mdpi.com/2072-666X/14/7/1425,[HTML] mdpi.com,,2 days ago,"The last coronavirus pandemic has remarkably accelerated this R&D field 
and noteworthy solutions have emerged [1,2,3]. Nowadays, even though some remarkable",molecules
SARS-CoV-2 Spike Protein Mutations in Different Variants: A Comparison Between Vaccinated and Unvaccinated Population in Western Amazonia,https://journals.sagepub.com/doi/abs/10.1177/11779322231186477,"G Sgorlon, TP Roca, AM Passos-Silva… - … and Biology Insights, 2023 - journals.sagepub.com",https://journals.sagepub.com/doi/pdf/10.1177/11779322231186477,[PDF] sagepub.com,,2 days ago,"of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has generated 
… of SARS-CoV-2 in different variants, we evaluated 1497 individuals with COVID-19 in",molecules
Molecular Biomarker Identification Using a Network-Based Bioinformatics Approach That Links COVID-19 With Smoking,https://journals.sagepub.com/doi/abs/10.1177/11779322231186481,"MA Rahman, MA Amin, MN Yeasmin… - … and Biology Insights, 2023 - journals.sagepub.com",https://journals.sagepub.com/doi/pdf/10.1177/11779322231186481,[PDF] sagepub.com,,2 days ago,"The COVID-19 coronavirus, as known as the SARS-CoV-2 virus, is an extremely 
contagious disease that mostly affects the lungs 1,2 since 2019 in the month of December.",tech
The Impact of COVID-19 on the Mental Health and Wellbeing of Children with Special Education Needs and Disabilities: A Systematic Review,https://psyarxiv.com/wv9ar/download?format=pdf,"VE Castle, V Sideropoulos, CL Jones, D Zhang… - 2023 - psyarxiv.com",https://psyarxiv.com/wv9ar/download?format=pdf,[PDF] psyarxiv.com,https://scholar.google.com/citations?user=-Zj0wBMAAAAJ&hl=en&oi=sra,2 days ago,"days ago - The COVID-19 pandemic has impacted greatly the mental health of children 
with special educational needs and disabilities (SEND). We performed a systematic review to",wellbeing
Do the oxidative stress biomarkers predict COVID-19 outcome? An in-hospital cohort study,https://www.sciencedirect.com/science/article/pii/S0891584923005130,"FF Neves, H Pott-Junior, KMC Yamashita… - Free Radical Biology …, 2023 - Elsevier",,,https://scholar.google.com/citations?user=VUHdWkAAAAAJ&hl=en&oi=sra,2 days ago,"in adults admitted with Coronavirus Disease 2019 (COVID-19), considering 
potential  Despite the rapid development of multiple COVID-19 vaccines, new SARS-CoV-2",biomarkers
Performance of amplicon and capture based next-generation sequencing approaches for the epidemiological surveillance of Omicron SARS-CoV-2 and other variants …,https://www.biorxiv.org/content/10.1101/2023.07.14.549026.abstract,"C Daviña-Nuñez, S Perez, JJ Cabrera-Alvargonzález… - bioRxiv, 2023 - biorxiv.org",https://www.biorxiv.org/content/10.1101/2023.07.14.549026.full.pdf,[PDF] biorxiv.org,,3 days ago,"22 pneumonia later defined as coronavirus disease 2019 (COVID-19). Detection 
and  the world 24 to control the spread of the SARS-CoV-2 pandemic. In order to do so,",public_health
Attitudes and Practices of the Public Toward Precautionary Measures Post-COVID-19 Pandemic in Saudi Arabia,https://www.tandfonline.com/doi/abs/10.2147/JMDH.S414424,"R Ekram, WA Khan, AA Khafagy… - Journal of …, 2023 - Taylor & Francis",https://www.tandfonline.com/doi/pdf/10.2147/JMDH.S414424,[PDF] tandfonline.com,,3 days ago,"towards coronavirus disease-2019 (COVID)-19 after the  preventing the 
spread of SARS-CoV-2. Several features,  to limit the spread of SARS-CoV-2. As shown in the",long_covid
Manifestaciones laríngeas de COVID-19,https://revista.acorl.org.co/index.php/acorl/article/view/681,"NAS Burbano, JXV Penagos, NJS García… - … & Cirugía de …, 2023 - revista.acorl.org.co",https://revista.acorl.org.co/index.php/acorl/article/download/681/649,[PDF] acorl.org.co,,3 days ago,"primeros casos de infección por el nuevo coronavirus 19 (COVID-19) en 
China, que  coronavirus, COVID-19 (3). Se han encontrado cargas virales altas de SARS-CoV-2",other_conditions
In vitro Inactivation of SARS-CoV-2 by Ozonated Water Via Novel Hand Hygiene Device,https://academic.oup.com/jambio/advance-article-abstract/doi/10.1093/jambio/lxad147/7224594,"RM Lubitz, BR Leon, KN Bradner… - Journal of Applied …, 2023 - academic.oup.com",,,,3 days ago,"severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2).  the COVID-19 
pandemic, there is heightened interest in utilizing ozone to disinfect against SARS-CoV-2.",medication_treatment
"Review 1:"" Looking Under the Lamp-post: Quantifying the Performance of Contact Tracing in the United States During the SARS-CoV-2 Pandemic""",https://rrid.mitpress.mit.edu/pub/02do6pit/release/1,"AS Rao - Rapid Reviews Infectious Diseases, 2023 - rrid.mitpress.mit.edu",https://rrid.mitpress.mit.edu/pub/02do6pit/release/1,[HTML] mit.edu,https://scholar.google.com/citations?user=kjKB1zoAAAAJ&hl=en&oi=sra,3 days ago,"contact tracing in COVID-19 disease transmission are well justified by the 
authors. The article nicely described contact tracing methods during COVID-19 and their impact",public_health
Applying the resource dependence theory to enhance supply chain management of small and medium scale enterprises (SMEs) in the context of COVID-19,https://ir.uitm.edu.my/id/eprint/81157/,"PM Kulkarni, G Nayak - Asia-Pacific Management Accounting …, 2023 - ir.uitm.edu.my",https://ir.uitm.edu.my/id/eprint/81157/1/81157.pdf,[PDF] uitm.edu.my,,3 days ago,"The Covid-19 pandemic had deeply affected supply chain management across 
… management during Covid-19. Our study was specific to the ongoing COVID 19 pandemic",tech
Differential laboratory passaging of SARS-CoV-2 viral stocks impacts the in vitro assessment of neutralizing antibodies,https://www.biorxiv.org/content/10.1101/2023.07.14.549044.abstract,"A Avila-Herrera, J Kimbrel, J Manuel Marti, J Thissen… - bioRxiv, 2023 - biorxiv.org",https://www.biorxiv.org/content/10.1101/2023.07.14.549044.full.pdf,[PDF] biorxiv.org,https://scholar.google.com/citations?user=RZxFkFgAAAAJ&hl=en&oi=sra,3 days ago,"respiratory syndrome coronavirus 2 (SARS-CoV-2) has  use a laboratory stock 
of SARS-CoV-2 strain or a 50  SARS-CoV-2 in an immunosuppressed COVID-19 patient as",misc
"Multivalent Exosome based protein vaccine: a"" mix and match"" approach to epidemic viruses' challenges.",https://www.biorxiv.org/content/10.1101/2023.07.13.548895.abstract,"M Cacciottolo, LE Hsieh, Y Li, MJ LeCalire, JB Nice… - bioRxiv, 2023 - biorxiv.org",https://www.biorxiv.org/content/biorxiv/early/2023/07/14/2023.07.13.548895.full.pdf,[PDF] biorxiv.org,https://scholar.google.com/citations?user=rBJFqLsAAAAJ&hl=en&oi=sra,3 days ago,"Before and after the COVID-19 pandemic, influenza was  SARS-CoV-2 
and influenza virus. Our results showed that mice immunized with exosomes carrying SARSCoV-2",public_health
Evaluation of SVM performance in the detection of Covid-19 by analyzing lung images in marked CT scan dataset,https://pubs.aip.org/aip/acp/article/2787/1/090023/2902493,"FR Sultan, MK Hussein - AIP Conference Proceedings, 2023 - pubs.aip.org",,,,3 days ago,"Coronavirus Disease caused by the severe acute respiratory syndrome 
coronavirus 2 (SARS-CoV-2) in 2019 (COVID-19). This disease is quickly spreading over the world…",detection
Detection of face mask using sequential convolution neural network framework,https://pubs.aip.org/aip/acp/article/2796/1/120004/2902337,"SS Parvathaneni, SVSR Penugonda… - AIP Conference …, 2023 - pubs.aip.org",,,,3 days ago,"a new covid that produces covid sickness, orCOVID-19,  viral infections, such 
as COVID-19. The public should be  to forestall additionally spread of Sars-Cov-2. In this study…",tech
"EXPRESSION, PURIFICATION, AND CHARACTERIZATION OF SARS-COV-2 ORF9b AND THE STUDY OF ITS INTERACTION WITH HUMAN HSP90 AND …",https://repositorio.unicamp.br/Busca/Download?codigoArquivo=557799,"DE SARS-COV, A CITOSÓLICA - repositorio.unicamp.br",https://repositorio.unicamp.br/Busca/Download?codigoArquivo=557799,[PDF] unicamp.br,,3 days ago,"I dedicate this work to all the lives lost to the COVID-19  city, China coronavirus 
disease 2019 (Covid19), and due to  Hence, the new name, Corona Virus-2 of severe acute",genes_genomic_regions
