Title1,Title_URL,authors,paper_link,type,Scholarlink,time_since_pull,query_text_match
The use of teleorthodontics during the COVID-19 pandemic and beyond–perspectives of patients and providers,https://bmcoralhealth.biomedcentral.com/articles/10.1186/s12903-023-03215-4,"K Homsi, V Ramachandran… - BMC Oral …, 2023 - bmcoralhealth.biomedcentral.com",https://bmcoralhealth.biomedcentral.com/articles/10.1186/s12903-023-03215-4,[HTML] biomedcentral.com,,2 days ago,"Only 5% were emergencies, 3% were COVID-19 related and the rest of the 
reasons varied from broken brackets, and loose wires to cancellations or any changes in"
In vitro and in vivo characterization of SARS-CoV-2 resistance to ensitrelvir,https://www.nature.com/articles/s41467-023-40018-1,"M Kiso, S Yamayoshi, S Iida, Y Furusawa… - Nature …, 2023 - nature.com",https://www.nature.com/articles/s41467-023-40018-1,[HTML] nature.com,,2 days ago,"of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). During the 
pandemic,  with SARS-CoV-2 have been vaccinated multiple times with COVID-19 vaccines."
"Maternal and neonatal outcomes of COVID-19 vaccination during pregnancy, a systematic review and meta-analysis",https://www.nature.com/articles/s41541-023-00698-8,"G Marchand, AT Masoud, S Grover, A King, G Brazil… - npj Vaccines, 2023 - nature.com",https://www.nature.com/articles/s41541-023-00698-8,[HTML] nature.com,https://scholar.google.com/citations?user=fS5rYdUAAAAJ&hl=en&oi=sra,2 days ago,"Coronavirus 2 (SARS-CoV-2) has the potential to considerably reduce the burden 
of Coronavirus disease 2019 (COVID-19)  reduced incidence of SARS-CoV-2 infection in"
SARS-CoV-2 breakthrough infections after COVID-19 vaccination in patients with inflammatory bowel disease: a systematic review and meta-analysis,https://journals.sagepub.com/doi/abs/10.1177/17562848231174295,"N van de Pol, Q Pan, LAAP Derikx… - Therapeutic …, 2023 - journals.sagepub.com",https://journals.sagepub.com/doi/full/10.1177/17562848231174295,[HTML] sagepub.com,,2 days ago,"Since the start of the coronavirus disease (COVID-19) pandemic caused by 
SARS-CoV-2  Initial concerns on an increased risk of COVID-19 infections and a more severe"
"Clinical use of dimethyl fumarate in multiple sclerosis treatment: an update to include China, using a modified Delphi method",https://journals.sagepub.com/doi/abs/10.1177/17562864231180734,"R Gold, M Barnett, A Chan, H Feng… - Therapeutic …, 2023 - journals.sagepub.com",https://journals.sagepub.com/doi/pdf/10.1177/17562864231180734,[PDF] sagepub.com,https://scholar.google.com/citations?user=iZVWDzwAAAAJ&hl=en&oi=sra,2 days ago,"For example, MS organizations and working groups have demonstrated the 
value of updating practice through agreed statements on the use of DMTs during COVID-19."
COVID-19 and Thromboembolic Events in the Pandemic and Pre-Pandemic Era: A Pediatric Cohort,https://www.mdpi.com/1999-4915/15/7/1554,"C Rubino, C Bechini, M Stinco, D Lasagni, G Indolfi… - Viruses, 2023 - mdpi.com",https://www.mdpi.com/1999-4915/15/7/1554,[HTML] mdpi.com,,2 days ago,"Since 2020, the coronavirus disease 2019 (COVID-19), caused by severe 
acute respiratory syndrome coronavirus 2 (SARS-CoV-2), and multisystem inflammatory"
CovidO: an ontology for COVID-19 metadata,https://link.springer.com/article/10.1007/s11227-023-05509-4,"S Sharma, S Jain - The Journal of Supercomputing, 2023 - Springer",,,https://scholar.google.com/citations?user=5y5RQpoAAAAJ&hl=en&oi=sra,2 days ago,"SARS-CoV-2 virus infection and the related COVID-19  : CIDO-COVID-19 
CIDO-COVID-19 [13] is a COVID-19  coronavirus (SARS-CoV-2) is represented by the COVID…"
The mental health toll of COVID-19: significant increase in admissions to ICU for voluntary self-inflicted injuries after the beginning of the pandemic,https://link.springer.com/article/10.1186/s13033-023-00590-x,"S Mongodi, G Salve, M Ravasi, D Rizzi… - International Journal of …, 2023 - Springer",https://link.springer.com/article/10.1186/s13033-023-00590-x,[HTML] springer.com,,2 days ago,"Italy was hit by the new coronavirus-2019 disease (COVID-19) pandemic in 
February 2020, with deep impact on ICUs [1, 2] and healthcare systems [3]. To contain"
Development and assessment of the performance of a shared ventilatory system that uses clinically available components to individualize tidal volumes,https://link.springer.com/article/10.1186/s12871-023-02200-2,"DM Hannon, T Jones, J Conolly, C Judge, T Iqbal… - BMC …, 2023 - Springer",https://link.springer.com/article/10.1186/s12871-023-02200-2,[HTML] springer.com,https://scholar.google.com/citations?user=TTC4680AAAAJ&hl=en&oi=sra,2 days ago,"The global pandemic of coronavirus disease caused by the SARS-CoV-2 virus 
… in preventing SARS-CoV-2 spread in mechanically ventilated patients with Covid-19 [32]."
Effect of treatment regimen of the rheumatoid arthritis patients on the risk of coronavirus disease 2019 by modulating the inflammatory mediators,https://link.springer.com/article/10.1007/s10787-023-01289-8,"Z Bagheri‑Hosseinabadi, A Dehghani, MA Lotfi… - …, 2023 - Springer",,,https://scholar.google.com/citations?user=DLvUmNgAAAAJ&hl=en&oi=sra,2 days ago,"The emerging novel severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) 
infection in late 2019 and early 2020 caused coronavirus disease 2019 (COVID-19)"
The long-term boomerang effect of COVID-19 on admissions for non-COVID diseases: the ECIEN-2022 study,https://link.springer.com/article/10.1007/s00431-023-05101-1,"B Ramos La Cuey, N Saloni-Gomez… - European Journal of …, 2023 - Springer",,,,2 days ago,"The COVID-19 pandemic has had a significant impact  long-term effects of the 
SARS-CoV-2 infection, but also through  Coronavirus SARS-CoV-2 en población pediátrica)."
Valveless On-Chip Aliquoting for Molecular Diagnosis,https://www.mdpi.com/2072-666X/14/7/1425,"AA Romero Deza, F Schaumburg, CLA Berli - Micromachines, 2023 - mdpi.com",https://www.mdpi.com/2072-666X/14/7/1425,[HTML] mdpi.com,,2 days ago,"The last coronavirus pandemic has remarkably accelerated this R&D field 
and noteworthy solutions have emerged [1,2,3]. Nowadays, even though some remarkable"
Increased serum interleukin-6 and lactate dehydrogenase levels among nonsurvival severe COVID-19 patients when compared to survival ones,https://www.sciencedirect.com/science/article/pii/S1567576923009517,"RAH Haroun, WH Osman, RE Amin, AM Eessa… - International …, 2023 - Elsevier",,,https://scholar.google.com/citations?user=lsLBsvkAAAAJ&hl=en&oi=sra,2 days ago,"Coronavirus disease (COVID-19), caused by severe acute respiratory syndrome 
coronavirus 2 (SARS-CoV-2) and first emerging in Wuhan, China, in December 2019, was"
SARS-CoV-2 Spike Protein Mutations in Different Variants: A Comparison Between Vaccinated and Unvaccinated Population in Western Amazonia,https://journals.sagepub.com/doi/abs/10.1177/11779322231186477,"G Sgorlon, TP Roca, AM Passos-Silva… - … and Biology Insights, 2023 - journals.sagepub.com",https://journals.sagepub.com/doi/pdf/10.1177/11779322231186477,[PDF] sagepub.com,,2 days ago,"of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has generated 
… of SARS-CoV-2 in different variants, we evaluated 1497 individuals with COVID-19 in"
Molecular Biomarker Identification Using a Network-Based Bioinformatics Approach That Links COVID-19 With Smoking,https://journals.sagepub.com/doi/abs/10.1177/11779322231186481,"MA Rahman, MA Amin, MN Yeasmin… - … and Biology Insights, 2023 - journals.sagepub.com",https://journals.sagepub.com/doi/pdf/10.1177/11779322231186481,[PDF] sagepub.com,,2 days ago,"The COVID-19 coronavirus, as known as the SARS-CoV-2 virus, is an extremely 
contagious disease that mostly affects the lungs 1,2 since 2019 in the month of December."
Impact of COVID-19 on health of menopausal women: A scoping review,https://www.sciencedirect.com/science/article/pii/S0163834323001172,"X Wu, KW Wong, C Gurvich, Y Dong - General Hospital Psychiatry, 2023 - Elsevier",,,,2 days ago,"Coronavirus disease (COVID-19), is an infectious disease caused by the 
SARS-CoV-2  Research on COVID-19 suggests that menopausal women may be a particularly"
Do the oxidative stress biomarkers predict COVID-19 outcome? An in-hospital cohort study,https://www.sciencedirect.com/science/article/pii/S0891584923005130,"FF Neves, H Pott-Junior, KMC Yamashita… - Free Radical Biology …, 2023 - Elsevier",,,https://scholar.google.com/citations?user=VUHdWkAAAAAJ&hl=en&oi=sra,2 days ago,"in adults admitted with Coronavirus Disease 2019 (COVID-19), considering 
potential  Despite the rapid development of multiple COVID-19 vaccines, new SARS-CoV-2"
Overview of game meat utilisation challenges and opportunities: A European perspective,https://www.sciencedirect.com/science/article/pii/S0309174023001900,"T Needham, D Bureš, J Černý, LC Hoffman - Meat Science, 2023 - Elsevier",,,https://scholar.google.com/citations?user=W_BwZPcAAAAJ&hl=en&oi=sra,2 days ago,"is COVID-19 (caused by coronavirus SARS-CoV-2); white-tailed deer (Odocoileus 
virginianus) were reported to serve as secondary animal reservoirs of SARS-CoV-2 in"
"COVID-19, waste production and municipal recycling programs: Insights from Chile to the global south",https://www.sciencedirect.com/science/article/pii/S0048969723040111,"VD Muñoz-Soto, S Dávila-Gálvez, AE Pérez… - Science of The Total …, 2023 - Elsevier",,,https://scholar.google.com/citations?user=vyRtDw0AAAAJ&hl=en&oi=sra,3 days ago,"SARS-CoV-2 pandemic-induced PPE and single-use plastic waste generation 
scenario.  Coronavirus disease 2019 (COVID-19) induced waste scenario: A short overview."
In vitro Inactivation of SARS-CoV-2 by Ozonated Water Via Novel Hand Hygiene Device,https://academic.oup.com/jambio/advance-article-abstract/doi/10.1093/jambio/lxad147/7224594,"RM Lubitz, BR Leon, KN Bradner… - Journal of Applied …, 2023 - academic.oup.com",,,,3 days ago,"severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2).  the COVID-19 
pandemic, there is heightened interest in utilizing ozone to disinfect against SARS-CoV-2."
Risk of severe Covid-19 in prevalent users of α-1 adrenergic receptor antagonists: a national case-control study of Medicare beneficiaries,https://www.sciencedirect.com/science/article/pii/S0002934323004370,"DJ Graham, HS Izurieta, D Zhang, A Avagyan… - The American Journal of …, 2023 - Elsevier",,,,3 days ago,"Severe coronavirus disease 2019 (Covid-19) is characterized by a marked 
increase in circulating inflammatory cytokines and progressive respiratory failure.1., 2, 3 Acute"
"A Mixed-Methods Study of the Experiences of Black, Indigenous, and People of Color MSW Students during the COVID-19 Pandemic",https://academic.oup.com/swr/advance-article-abstract/doi/10.1093/swr/svad011/7224529,"DD Maglalang, AN Harris, TB Tucker… - Social Work …, 2023 - academic.oup.com",,,https://scholar.google.com/citations?user=b1P46foAAAAJ&hl=en&oi=sra,3 days ago,"COVID-19 is caused by the virus SARS-CoV-2, which  To date, about 6 million 
people have died from COVID-19  COVID-19 caused an unprecedented global pandemic"
Effectiveness of previous infection-induced and vaccine-induced protection against hospitalisation due to omicron BA subvariants in older adults: a test …,https://www.thelancet.com/journals/lanhl/article/PIIS2666-7568(23)00099-5/fulltext,"S Carazo, DM Skowronski, M Brisson… - The Lancet Healthy …, 2023 - thelancet.com",https://www.thelancet.com/journals/lanhl/article/PIIS2666-7568(23)00099-5/fulltext,[HTML] thelancet.com,https://scholar.google.com/citations?user=EbWuYkIAAAAJ&hl=en&oi=sra,3 days ago,"previous SARS-CoV-2 infection  COVID-19 who were tested for SARS-CoV-2 
in acute-care hospitals. Cases were defined as patients who were hospitalised for COVID-19"
A reaction–diffusion epidemic model with virus mutation and media coverage: Theoretical analysis and numerical simulation,https://www.sciencedirect.com/science/article/pii/S0378475423002781,"Y Tu, X Meng - Mathematics and Computers in Simulation, 2023 - Elsevier",,,https://scholar.google.com/citations?user=YoGKuZsAAAAJ&hl=en&oi=sra,3 days ago,"respiratory syndrome coronavirus 2 (SARS-CoV-2) is the causative agent of 
the coronavirus disease 2019 (COVID-19), which caused pandemic of COVID-19 and dealt a"
"Viral and antibody dynamics of acute infection with SARS-CoV-2 omicron variant (B. 1.529): a prospective cohort study from Shenzhen, China",https://www.thelancet.com/journals/lanmic/article/PIIS2666-5247(23)00139-8/fulltext,"Y Yang, L Guo, J Yuan, Z Xu, Y Gu, J Zhang… - The Lancet …, 2023 - thelancet.com",https://www.thelancet.com/journals/lanmic/article/PIIS2666-5247(23)00139-8/fulltext,[HTML] thelancet.com,,3 days ago,"with coronavirus disease 2019 (COVID-19). Clin Infect Dis 2020; 71: 799–806.  
with mRNA vaccination against SARS-CoV-2 infection and severe COVID-19 in Qatar: a"
Umbilical cord mesenchymal stem cells overexpressing CXCR7 facilitate treatment of ARDS-associated pulmonary fibrosis via inhibition of Notch/Jag1 …,https://www.sciencedirect.com/science/article/pii/S0753332223009150,"K Xiao, C Liu, H Wang, F Hou, Y Shi, ZR Qian… - Biomedicine & …, 2023 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0753332223009150,[HTML] sciencedirect.com,https://scholar.google.com/citations?user=U643E4EAAAAJ&hl=en&oi=sra,3 days ago,"ARDS is usually caused by lung injury from various underlying diseases, 
infections, disorders, and in the case of COVID-19, SARS-CoV-2 infection can cause ARDS"
New perspective on the immunomodulatory activity of ginsenosides: Focus on effective therapies for post-COVID-19,https://www.sciencedirect.com/science/article/pii/S0753332223009459,"Y Wang, Q Han, S Zhang, X Xing, X Sun - Biomedicine & Pharmacotherapy, 2023 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0753332223009459,[HTML] sciencedirect.com,,3 days ago,"During the severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2), 
ginseng accounts for  The immunopathology of COVID-19 caused by SARS-CoV-2 infection is"
Determination of selected biogenic amines in fermented vegetables juices,https://www.sciencedirect.com/science/article/pii/S0956713523003808,"A Jastrzębska, A Kmieciak, K Brzuzy, Z Gralak… - Food Control, 2023 - Elsevier",,,,3 days ago,"Moreover, polyamines are critical to coronavirus replication and represent 
a  future coronavirus outbreaks (Firpo et al., 2021). Spd and Spm both inhibited SARS-CoV-2"
Differences in Mortality Among Patients with Asthma and COPD Hospitalized with COVID-19,https://www.sciencedirect.com/science/article/pii/S2213219823007778,"Y Liu, H Rajeevan, M Simonov, S Lee… - The Journal of Allergy …, 2023 - Elsevier",,,https://scholar.google.com/citations?user=DS4ld2EAAAAJ&hl=en&oi=sra,3 days ago,"Clinical course and outcomes of 384 critically ill patients with SARS-CoV-2  
Eosinophil responses during COVID- 437 19 infections and coronavirus vaccination."
Do peer-based education interventions effectively improve vaccination acceptance? a systematic review,https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-023-16294-3,"ELS Gobbo, C Hanson… - BMC Public …, 2023 - bmcpublichealth.biomedcentral.com",https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-023-16294-3,[HTML] biomedcentral.com,https://scholar.google.com/citations?user=jYNMFoAAAAAJ&hl=en&oi=sra,3 days ago,"The COVID-19 pandemic illustrated this problem. Based on surveys of general 
public opinions, rates of COVID-19  While the rates of COVID-19 vaccine uptake have been"
Community-based organization perspectives on participating in state-wide community canvassing program aimed to reduce COVID-19 vaccine disparities in …,https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-023-16210-9,"LN Mansfield, SL Carson… - BMC Public …, 2023 - bmcpublichealth.biomedcentral.com",https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-023-16210-9,[HTML] biomedcentral.com,,3 days ago,"SARS-CoV-2 (COVID-19) infection, hospitalization, and death rates have 
disproportionately affected marginalized racial and ethnic (minoritized) populations across the"
Determinants of COVID-19 vaccine readiness and hesitancy among adults in sub-Saharan Africa,https://journals.plos.org/globalpublichealth/article?id=10.1371/journal.pgph.0000713,"SW Abubakari, F Workneh, KP Asante… - PLOS Global Public …, 2023 - journals.plos.org",https://journals.plos.org/globalpublichealth/article?id=10.1371/journal.pgph.0000713,[HTML] plos.org,,3 days ago,"Even as the SARS-CoV-2 infections become  COVID-19 vaccine hesitancy 
in order to develop strategies to promote the intention to get vaccinated against COVID-19 and"
Social and clinical risk factors associated with hospitalized COVID-19 patients in Brussels's deprived and multiethnic areas,https://journals.plos.org/globalpublichealth/article?id=10.1371/journal.pgph.0002039,"J Racape, AC Noel, J Lurel, N Dauby… - PLOS Global Public …, 2023 - journals.plos.org",https://journals.plos.org/globalpublichealth/article?id=10.1371/journal.pgph.0002039,[HTML] plos.org,https://scholar.google.com/citations?user=xLohAWQAAAAJ&hl=en&oi=sra,3 days ago,"All admitted individuals (age ≥ 18 years old) with either a confirmed positive 
SARS-CoV-2 polymerase chain reaction or high clinical suspicion for COVID-19, based on"
CHO-produced RBD-Fc subunit vaccines with alternative adjuvants generate immune responses against SARS-CoV-2,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0288486,"S Laotee, M Duangkaew, A Jivapetthai, K Tharakhet… - Plos one, 2023 - journals.plos.org",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0288486,[HTML] plos.org,,3 days ago,"The outbreak of novel coronavirus (SARS-CoV-2) has  against COVID-19 have 
been developed based on  and neutralizing activities against SARS-CoV-2 [19]. This report"
Influence of chronic liver diseases on the course and outcome of COVID-19,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0288350,"N Mitrovic, M Sabanovic, A Vujovic, J Jovanovic… - Plos one, 2023 - journals.plos.org",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0288350,[HTML] plos.org,,3 days ago,"Coronavirus disease of 2019 (COVID-19) is a global  study were a confirmed 
SARS-CoV-2 infection with viral DNA  of COVID-19, its course and outcome. The severity of"
"Virus purification highlights the high susceptibility of SARS-CoV-2 to a chlorine-based disinfectant, chlorous acid",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0288634,"BM Lawal-Ayinde, T Morita, K Oda, T Nazmul… - Plos one, 2023 - journals.plos.org",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0288634,[HTML] plos.org,https://scholar.google.com/citations?user=Qoigr1gAAAAJ&hl=en&oi=sra,3 days ago,"The emergence of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) 
has become a global health problem, causing respiratory infection COVID-19 in"
"Epidemiological analysis of coronavirus disease (COVID-19) patients on ships arriving at Busan port in Korea, 2020",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0288064,"KH Do, J Yang, OS Do, SJ Yoo - Plos one, 2023 - journals.plos.org",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0288064,[HTML] plos.org,,3 days ago,"COVID-19 risk. In this study, we analyzed the epidemiological characteristics of 
COVID-19 patients using COVID-19  first year of the outbreak of COVID-19, 2020. The initial"
Machine Learning Methods for Virus–Host Protein–Protein Interaction Prediction,https://link.springer.com/protocol/10.1007/978-1-0716-3327-4_31,"BA Karpuzcu, E Türk, AH Ibrahim, OC Karabulut… - … : Methods and Protocols, 2023 - Springer",,,https://scholar.google.com/citations?user=x2ydIbYAAAAJ&hl=en&oi=sra,3 days ago,"Even back in 2016, before the emergence of the COVID-19 pandemic, the 
Institute of Labor Economics had reported that 156 million life-years were lost due to 8 major"
Co-Dynamics of COVID-19 and Viral Hepatitis B Using a Mathematical Model of Non-Integer Order: Impact of Vaccination,https://www.mdpi.com/2504-3110/7/7/544,"A Omame, IP Onyenegecha, AA Raezah… - Fractal and Fractional, 2023 - mdpi.com",https://www.mdpi.com/2504-3110/7/7/544,[HTML] mdpi.com,https://scholar.google.com/citations?user=AA539_cAAAAJ&hl=en&oi=sra,3 days ago,"by the “Severe Acute Respiratory Syndrome Coronavirus-2” (SARS-CoV-2), 
has  COVID-19-related liver issues. In undiagnosed people with viral hepatitis B, SARS-CoV-2"
Ascorbic acid and IFNγ preconditioning enhance the potency of human mesenchymal stem cells to ameliorate LPS induced cytokine storm,https://www.sciencedirect.com/science/article/pii/S1567576923009682,"A Sanap, S Kheur, A Kharat, R Bhonde - International …, 2023 - Elsevier",,,https://scholar.google.com/citations?user=cyTLiUQAAAAJ&hl=en&oi=sra,3 days ago,"management of coronavirus disease (COVID-19) [5]. In  IFN-γ in the COVID-19 
pathophysiology, the current study  management of SARS-COV-2 induced cytokine storm."
SARS-CoV-2 ORF8 does not function in the nucleus as a histone mimic,https://academic.oup.com/proteincell/advance-article-abstract/doi/10.1093/procel/pwad042/7224413,"P Liu, J Hu, L Wang - Protein & Cell, 2023 - academic.oup.com",https://academic.oup.com/proteincell/advance-article-pdf/doi/10.1093/procel/pwad042/50884959/pwad042.pdf,[PDF] oup.com,,3 days ago,"coronaviruses, ORF8 exerts multiple functions and is viewed as an important 
virulence factor of SARS-CoV-2  warrant novel intervention strategies against SARS-CoV-2."
Discovery of Hybrid Thiouracil–Coumarin Conjugates as Potential Novel Anti-SARS-CoV-2 Agents Targeting the Virus's Polymerase “RdRp” as a Confirmed …,https://pubs.acs.org/doi/abs/10.1021/acsomega.3c02079,"D Vishwanath, A Shete-Aich, MB Honnegowda… - ACS …, 2023 - ACS Publications",https://pubs.acs.org/doi/full/10.1021/acsomega.3c02079,[HTML] acs.org,,3 days ago,"The coronavirus (COVID-19) pandemic, along with its  respiratory syndrome 
coronavirus 2 (SARS-CoV-2) mainly  candidates to target COVID-19 variants in the future."
Critical care response during the COVID-19 pandemic,https://www.sciencedirect.com/science/article/pii/S0929664623002590,"WC Chen, KY Yang - Journal of the Formosan Medical Association, 2023 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0929664623002590,[HTML] sciencedirect.com,,3 days ago,"Coronavirus disease 2019 (COVID-19) has contributed to millions of deaths 
since  and longer SARS-CoV-2 viral shedding time. For severe COVID-19 infection with"
Trends in COVID-19 diagnoses and outcomes in infants hospitalized in the neonatal intensive care unit,https://www.nature.com/articles/s41372-023-01725-1,"EB Heyward, RH Clark, PB Smith… - Journal of …, 2023 - nature.com",,,,3 days ago,"of COVID-19 on mothers and infants over the course of the pandemic, little 
is known about the prevalence and trends of COVID-19  syndrome coronavirus 2 (SARS-CoV-2)"
Elevated complement C3 and increased CD8 and type 1 helper lymphocyte T populations in patients with post-COVID-19 condition,https://www.sciencedirect.com/science/article/pii/S1043466623001734,"M Garcia-Gasalla, M Berman-Riu, A Rodriguez… - Cytokine, 2023 - Elsevier",,,https://scholar.google.com/citations?user=Ai7WTHMAAAAJ&hl=en&oi=sra,3 days ago,"or confirmed SARS-CoV-2 infection, usually 3 months from the onset of COVID-19, 
… Symptoms might be new onset after initial recovery from an acute COVID-19 episode"
Quality of care provided by Multiple Sclerosis Centers during Covid-19 pandemic: Results of an Italian multicenter patient-centered survey,https://www.sciencedirect.com/science/article/pii/S2211034823003711,"M Altieri, R Capuano, A Bisecco, A d'Ambrosio… - Multiple Sclerosis and …, 2023 - Elsevier",https://www.sciencedirect.com/science/article/pii/S2211034823003711,[HTML] sciencedirect.com,https://scholar.google.com/citations?user=bSN-1ggAAAAJ&hl=en&oi=sra,3 days ago,"days ago - Background Covid-19 pandemic impacted on management of people with 
Multiple Sclerosis (pwMS). Level of satisfaction of pwMS regarding the care received by the staff"
